insert	id	family	superfamily	suborder	class	problem
FBti0059678	1360	1360	TIR	TIR	DNA	0
FBti0059679	1360	1360	TIR	TIR	DNA	0
FBti0059680	1360	1360	TIR	TIR	DNA	0
FBti0059681	1360	1360	TIR	TIR	DNA	0
FBti0059685	1360	1360	TIR	TIR	DNA	0
FBti0059686	1360	1360	TIR	TIR	DNA	0
FBti0059688	1360	1360	TIR	TIR	DNA	0
FBti0059689	1360	1360	TIR	TIR	DNA	0
FBti0059779	1360	1360	TIR	TIR	DNA	0
FBti0059788	1360	1360	TIR	TIR	DNA	0
FBti0059790	1360	1360	TIR	TIR	DNA	0
FBti0059795	1360	1360	TIR	TIR	DNA	0
FBti0059865	1360	1360	TIR	TIR	DNA	0
FBti0059868	1360	1360	TIR	TIR	DNA	0
FBti0059875	1360	1360	TIR	TIR	DNA	0
FBti0059947	1360	1360	TIR	TIR	DNA	0
FBti0059986	1360	1360	TIR	TIR	DNA	0
FBti0060023	1360	1360	TIR	TIR	DNA	0
FBti0060026	1360	1360	TIR	TIR	DNA	0
FBti0060028	1360	1360	TIR	TIR	DNA	0
FBti0060030	1360	1360	TIR	TIR	DNA	0
FBti0060067	1360	1360	TIR	TIR	DNA	0
FBti0060068	1360	1360	TIR	TIR	DNA	0
FBti0060069	1360	1360	TIR	TIR	DNA	0
FBti0060103	1360	1360	TIR	TIR	DNA	0
FBti0060145	1360	1360	TIR	TIR	DNA	0
FBti0060190	1360	1360	TIR	TIR	DNA	0
FBti0060221	1360	1360	TIR	TIR	DNA	0
FBti0060238	1360	1360	TIR	TIR	DNA	0
FBti0060250	1360	1360	TIR	TIR	DNA	0
FBti0060251	1360	1360	TIR	TIR	DNA	0
FBti0060272	1360	1360	TIR	TIR	DNA	0
FBti0060307	1360	1360	TIR	TIR	DNA	0
FBti0060327	1360	1360	TIR	TIR	DNA	0
FBti0060328	1360	1360	TIR	TIR	DNA	0
FBti0060337	1360	1360	TIR	TIR	DNA	0
FBti0060373	1360	1360	TIR	TIR	DNA	0
FBti0060389	1360	1360	TIR	TIR	DNA	0
FBti0060443	1360	1360	TIR	TIR	DNA	0
FBti0060458	1360	1360	TIR	TIR	DNA	0
FBti0060460	1360	1360	TIR	TIR	DNA	0
FBti0060461	1360	1360	TIR	TIR	DNA	0
FBti0060462	1360	1360	TIR	TIR	DNA	0
FBti0060467	1360	1360	TIR	TIR	DNA	0
FBti0060468	1360	1360	TIR	TIR	DNA	0
FBti0060469	1360	1360	TIR	TIR	DNA	0
FBti0060520	1360	1360	TIR	TIR	DNA	0
FBti0060521	1360	1360	TIR	TIR	DNA	0
FBti0060553	1360	1360	TIR	TIR	DNA	0
FBti0060554	1360	1360	TIR	TIR	DNA	0
FBti0060555	1360	1360	TIR	TIR	DNA	0
FBti0060556	1360	1360	TIR	TIR	DNA	0
FBti0060598	1360	1360	TIR	TIR	DNA	0
FBti0060600	1360	1360	TIR	TIR	DNA	0
FBti0060601	1360	1360	TIR	TIR	DNA	0
FBti0060602	1360	1360	TIR	TIR	DNA	0
FBti0060603	1360	1360	TIR	TIR	DNA	0
FBti0060604	1360	1360	TIR	TIR	DNA	0
FBti0060613	1360	1360	TIR	TIR	DNA	0
FBti0060715	1360	1360	TIR	TIR	DNA	0
FBti0060734	1360	1360	TIR	TIR	DNA	0
FBti0060794	1360	1360	TIR	TIR	DNA	0
FBti0060832	1360	1360	TIR	TIR	DNA	0
FBti0060836	1360	1360	TIR	TIR	DNA	0
FBti0060848	1360	1360	TIR	TIR	DNA	0
FBti0060849	1360	1360	TIR	TIR	DNA	0
FBti0060853	1360	1360	TIR	TIR	DNA	0
FBti0060854	1360	1360	TIR	TIR	DNA	0
FBti0060876	1360	1360	TIR	TIR	DNA	0
FBti0060877	1360	1360	TIR	TIR	DNA	0
FBti0060879	1360	1360	TIR	TIR	DNA	0
FBti0060886	1360	1360	TIR	TIR	DNA	0
FBti0060908	1360	1360	TIR	TIR	DNA	0
FBti0060975	1360	1360	TIR	TIR	DNA	0
FBti0061303	1360	1360	TIR	TIR	DNA	0
FBti0061320	1360	1360	TIR	TIR	DNA	0
FBti0061376	1360	1360	TIR	TIR	DNA	0
FBti0061506	1360	1360	TIR	TIR	DNA	0
FBti0061511	1360	1360	TIR	TIR	DNA	0
FBti0061532	1360	1360	TIR	TIR	DNA	0
FBti0061568	1360	1360	TIR	TIR	DNA	0
FBti0061569	1360	1360	TIR	TIR	DNA	0
FBti0061571	1360	1360	TIR	TIR	DNA	0
FBti0061665	1360	1360	TIR	TIR	DNA	0
FBti0061681	1360	1360	TIR	TIR	DNA	0
FBti0061683	1360	1360	TIR	TIR	DNA	0
FBti0061684	1360	1360	TIR	TIR	DNA	0
FBti0061687	1360	1360	TIR	TIR	DNA	0
FBti0061688	1360	1360	TIR	TIR	DNA	0
FBti0061690	1360	1360	TIR	TIR	DNA	0
FBti0061691	1360	1360	TIR	TIR	DNA	0
FBti0061693	1360	1360	TIR	TIR	DNA	0
FBti0061705	1360	1360	TIR	TIR	DNA	0
FBti0061712	1360	1360	TIR	TIR	DNA	0
FBti0061714	1360	1360	TIR	TIR	DNA	0
FBti0061716	1360	1360	TIR	TIR	DNA	0
FBti0061726	1360	1360	TIR	TIR	DNA	0
FBti0061728	1360	1360	TIR	TIR	DNA	0
FBti0061733	1360	1360	TIR	TIR	DNA	0
FBti0061736	1360	1360	TIR	TIR	DNA	0
FBti0061738	1360	1360	TIR	TIR	DNA	0
FBti0061740	1360	1360	TIR	TIR	DNA	0
FBti0061743	1360	1360	TIR	TIR	DNA	0
FBti0061745	1360	1360	TIR	TIR	DNA	0
FBti0061747	1360	1360	TIR	TIR	DNA	0
FBti0061748	1360	1360	TIR	TIR	DNA	0
FBti0061749	1360	1360	TIR	TIR	DNA	0
FBti0061750	1360	1360	TIR	TIR	DNA	0
FBti0061751	1360	1360	TIR	TIR	DNA	0
FBti0061786	1360	1360	TIR	TIR	DNA	0
FBti0061789	1360	1360	TIR	TIR	DNA	0
FBti0061792	1360	1360	TIR	TIR	DNA	0
FBti0061958	1360	1360	TIR	TIR	DNA	0
FBti0061960	1360	1360	TIR	TIR	DNA	0
FBti0062136	1360	1360	TIR	TIR	DNA	0
FBti0062138	1360	1360	TIR	TIR	DNA	0
FBti0062143	1360	1360	TIR	TIR	DNA	0
FBti0062161	1360	1360	TIR	TIR	DNA	0
FBti0062163	1360	1360	TIR	TIR	DNA	0
FBti0062167	1360	1360	TIR	TIR	DNA	0
FBti0062174	1360	1360	TIR	TIR	DNA	0
FBti0062187	1360	1360	TIR	TIR	DNA	0
FBti0062210	1360	1360	TIR	TIR	DNA	0
FBti0062237	1360	1360	TIR	TIR	DNA	0
FBti0062238	1360	1360	TIR	TIR	DNA	0
FBti0062239	1360	1360	TIR	TIR	DNA	0
FBti0062309	1360	1360	TIR	TIR	DNA	0
FBti0062370	1360	1360	TIR	TIR	DNA	0
FBti0062386	1360	1360	TIR	TIR	DNA	0
FBti0062410	1360	1360	TIR	TIR	DNA	0
FBti0062411	1360	1360	TIR	TIR	DNA	0
FBti0062412	1360	1360	TIR	TIR	DNA	0
FBti0062434	1360	1360	TIR	TIR	DNA	0
FBti0062597	1360	1360	TIR	TIR	DNA	0
FBti0062600	1360	1360	TIR	TIR	DNA	0
FBti0062601	1360	1360	TIR	TIR	DNA	0
FBti0062603	1360	1360	TIR	TIR	DNA	0
FBti0062606	1360	1360	TIR	TIR	DNA	0
FBti0062607	1360	1360	TIR	TIR	DNA	0
FBti0062610	1360	1360	TIR	TIR	DNA	0
FBti0062612	1360	1360	TIR	TIR	DNA	0
FBti0062614	1360	1360	TIR	TIR	DNA	0
FBti0062668	1360	1360	TIR	TIR	DNA	0
FBti0062726	1360	1360	TIR	TIR	DNA	0
FBti0062751	1360	1360	TIR	TIR	DNA	0
FBti0062752	1360	1360	TIR	TIR	DNA	0
FBti0062753	1360	1360	TIR	TIR	DNA	0
FBti0062754	1360	1360	TIR	TIR	DNA	0
FBti0062777	1360	1360	TIR	TIR	DNA	0
FBti0062778	1360	1360	TIR	TIR	DNA	0
FBti0062779	1360	1360	TIR	TIR	DNA	0
FBti0062808	1360	1360	TIR	TIR	DNA	0
FBti0062810	1360	1360	TIR	TIR	DNA	0
FBti0062812	1360	1360	TIR	TIR	DNA	0
FBti0062813	1360	1360	TIR	TIR	DNA	0
FBti0062827	1360	1360	TIR	TIR	DNA	0
FBti0062831	1360	1360	TIR	TIR	DNA	0
FBti0062833	1360	1360	TIR	TIR	DNA	0
FBti0062871	1360	1360	TIR	TIR	DNA	0
FBti0062874	1360	1360	TIR	TIR	DNA	0
FBti0062875	1360	1360	TIR	TIR	DNA	0
FBti0062979	1360	1360	TIR	TIR	DNA	0
FBti0062980	1360	1360	TIR	TIR	DNA	0
FBti0063022	1360	1360	TIR	TIR	DNA	0
FBti0063060	1360	1360	TIR	TIR	DNA	0
FBti0063061	1360	1360	TIR	TIR	DNA	0
FBti0063065	1360	1360	TIR	TIR	DNA	0
FBti0063103	1360	1360	TIR	TIR	DNA	0
FBti0063127	1360	1360	TIR	TIR	DNA	0
FBti0063194	1360	1360	TIR	TIR	DNA	0
FBti0063200	1360	1360	TIR	TIR	DNA	0
FBti0063369	1360	1360	TIR	TIR	DNA	0
FBti0063452	1360	1360	TIR	TIR	DNA	0
FBti0063534	1360	1360	TIR	TIR	DNA	0
FBti0063540	1360	1360	TIR	TIR	DNA	0
FBti0063541	1360	1360	TIR	TIR	DNA	0
FBti0063672	1360	1360	TIR	TIR	DNA	0
FBti0063739	1360	1360	TIR	TIR	DNA	0
FBti0063740	1360	1360	TIR	TIR	DNA	0
FBti0063741	1360	1360	TIR	TIR	DNA	0
FBti0063749	1360	1360	TIR	TIR	DNA	0
FBti0063783	1360	1360	TIR	TIR	DNA	0
FBti0063942	1360	1360	TIR	TIR	DNA	0
FBti0063945	1360	1360	TIR	TIR	DNA	0
FBti0063947	1360	1360	TIR	TIR	DNA	0
FBti0063949	1360	1360	TIR	TIR	DNA	0
FBti0063951	1360	1360	TIR	TIR	DNA	0
FBti0063953	1360	1360	TIR	TIR	DNA	0
FBti0063955	1360	1360	TIR	TIR	DNA	0
FBti0063957	1360	1360	TIR	TIR	DNA	0
FBti0064081	1360	1360	TIR	TIR	DNA	0
FBti0064083	1360	1360	TIR	TIR	DNA	0
FBti0064097	1360	1360	TIR	TIR	DNA	0
FBti0064130	1360	1360	TIR	TIR	DNA	0
FBti0064132	1360	1360	TIR	TIR	DNA	0
FBti0064134	1360	1360	TIR	TIR	DNA	0
FBti0064152	1360	1360	TIR	TIR	DNA	0
FBti0064153	1360	1360	TIR	TIR	DNA	0
FBti0064160	1360	1360	TIR	TIR	DNA	0
FBti0064172	1360	1360	TIR	TIR	DNA	0
FBti0064253	1360	1360	TIR	TIR	DNA	0
FBti0064309	1360	1360	TIR	TIR	DNA	0
DMIS176	17.6	17.6	LTR	LTR	RNA	0
FBti0018861	17.6	17.6	LTR	LTR	RNA	0
FBti0018862	17.6	17.6	LTR	LTR	RNA	0
FBti0019053	17.6	17.6	LTR	LTR	RNA	0
FBti0019299	17.6	17.6	LTR	LTR	RNA	0
FBti0019354	17.6	17.6	LTR	LTR	RNA	0
FBti0019563	17.6	17.6	LTR	LTR	RNA	0
FBti0020019	17.6	17.6	LTR	LTR	RNA	0
FBti0020086	17.6	17.6	LTR	LTR	RNA	0
FBti0020090	17.6	17.6	LTR	LTR	RNA	0
FBti0020174	17.6	17.6	LTR	LTR	RNA	0
FBti0020227	17.6	17.6	LTR	LTR	RNA	0
FBti0059975	17.6	17.6	LTR	LTR	RNA	0
FBti0060121	17.6	17.6	LTR	LTR	RNA	0
FBti0060473	17.6	17.6	LTR	LTR	RNA	0
FBti0060705	17.6	17.6	LTR	LTR	RNA	0
FBti0060995	17.6	17.6	LTR	LTR	RNA	0
FBti0061074	17.6	17.6	LTR	LTR	RNA	0
FBti0062476	17.6	17.6	LTR	LTR	RNA	0
FBti0063581	17.6	17.6	LTR	LTR	RNA	0
FBti0064268	17.6	17.6	LTR	LTR	RNA	0
DMTN1731	1731	1731	LTR	LTR	RNA	0
FBti0019679	1731	1731	LTR	LTR	RNA	0
FBti0020325	1731	1731	LTR	LTR	RNA	0
FBti0060161	1731	1731	LTR	LTR	RNA	0
FBti0060279	1731	1731	LTR	LTR	RNA	0
FBti0060280	1731	1731	LTR	LTR	RNA	0
FBti0060292	1731	1731	LTR	LTR	RNA	0
FBti0060404	1731	1731	LTR	LTR	RNA	0
FBti0061162	1731	1731	LTR	LTR	RNA	0
FBti0061329	1731	1731	LTR	LTR	RNA	0
FBti0061810	1731	1731	LTR	LTR	RNA	0
FBti0063442	1731	1731	LTR	LTR	RNA	0
FBti0063690	1731	1731	LTR	LTR	RNA	0
FBti0063807	1731	1731	LTR	LTR	RNA	0
DMIS297	297	297	LTR	LTR	RNA	0
FBti0018865	297	297	LTR	LTR	RNA	0
FBti0018866	297	297	LTR	LTR	RNA	0
FBti0018867	297	297	LTR	LTR	RNA	0
FBti0018868	297	297	LTR	LTR	RNA	0
FBti0019052	297	297	LTR	LTR	RNA	0
FBti0019078	297	297	LTR	LTR	RNA	0
FBti0019135	297	297	LTR	LTR	RNA	0
FBti0019184	297	297	LTR	LTR	RNA	0
FBti0019201	297	297	LTR	LTR	RNA	0
FBti0019237	297	297	LTR	LTR	RNA	0
FBti0019242	297	297	LTR	LTR	RNA	0
FBti0019333	297	297	LTR	LTR	RNA	0
FBti0019341	297	297	LTR	LTR	RNA	0
FBti0019349	297	297	LTR	LTR	RNA	0
FBti0019353	297	297	LTR	LTR	RNA	0
FBti0019356	297	297	LTR	LTR	RNA	0
FBti0019434	297	297	LTR	LTR	RNA	0
FBti0019445	297	297	LTR	LTR	RNA	0
FBti0019525	297	297	LTR	LTR	RNA	0
FBti0019567	297	297	LTR	LTR	RNA	0
FBti0019580	297	297	LTR	LTR	RNA	0
FBti0019591	297	297	LTR	LTR	RNA	0
FBti0019611	297	297	LTR	LTR	RNA	0
FBti0019612	297	297	LTR	LTR	RNA	0
FBti0019617	297	297	LTR	LTR	RNA	0
FBti0019623	297	297	LTR	LTR	RNA	0
FBti0019628	297	297	LTR	LTR	RNA	0
FBti0019648	297	297	LTR	LTR	RNA	0
FBti0019734	297	297	LTR	LTR	RNA	0
FBti0019735	297	297	LTR	LTR	RNA	0
FBti0019744	297	297	LTR	LTR	RNA	0
FBti0019745	297	297	LTR	LTR	RNA	0
FBti0019749	297	297	LTR	LTR	RNA	0
FBti0019750	297	297	LTR	LTR	RNA	0
FBti0019754	297	297	LTR	LTR	RNA	0
FBti0019756	297	297	LTR	LTR	RNA	0
FBti0019758	297	297	LTR	LTR	RNA	0
FBti0019762	297	297	LTR	LTR	RNA	0
FBti0019975	297	297	LTR	LTR	RNA	0
FBti0019977	297	297	LTR	LTR	RNA	0
FBti0020008	297	297	LTR	LTR	RNA	0
FBti0020048	297	297	LTR	LTR	RNA	0
FBti0020059	297	297	LTR	LTR	RNA	0
FBti0020061	297	297	LTR	LTR	RNA	0
FBti0020126	297	297	LTR	LTR	RNA	0
FBti0020216	297	297	LTR	LTR	RNA	0
FBti0020218	297	297	LTR	LTR	RNA	0
FBti0059648	297	297	LTR	LTR	RNA	0
FBti0059706	297	297	LTR	LTR	RNA	0
FBti0059707	297	297	LTR	LTR	RNA	0
FBti0059782	297	297	LTR	LTR	RNA	0
FBti0059983	297	297	LTR	LTR	RNA	0
FBti0060428	297	297	LTR	LTR	RNA	0
FBti0060431	297	297	LTR	LTR	RNA	0
FBti0060432	297	297	LTR	LTR	RNA	0
FBti0060717	297	297	LTR	LTR	RNA	0
FBti0060827	297	297	LTR	LTR	RNA	0
FBti0060885	297	297	LTR	LTR	RNA	0
FBti0060920	297	297	LTR	LTR	RNA	0
FBti0061315	297	297	LTR	LTR	RNA	0
FBti0061316	297	297	LTR	LTR	RNA	0
FBti0061323	297	297	LTR	LTR	RNA	0
FBti0061546	297	297	LTR	LTR	RNA	0
FBti0061636	297	297	LTR	LTR	RNA	0
FBti0061866	297	297	LTR	LTR	RNA	0
FBti0061868	297	297	LTR	LTR	RNA	0
FBti0062100	297	297	LTR	LTR	RNA	0
FBti0062103	297	297	LTR	LTR	RNA	0
FBti0062349	297	297	LTR	LTR	RNA	0
FBti0062350	297	297	LTR	LTR	RNA	0
FBti0062351	297	297	LTR	LTR	RNA	0
FBti0062352	297	297	LTR	LTR	RNA	0
FBti0062353	297	297	LTR	LTR	RNA	0
FBti0062681	297	297	LTR	LTR	RNA	0
FBti0062683	297	297	LTR	LTR	RNA	0
FBti0062696	297	297	LTR	LTR	RNA	0
FBti0063510	297	297	LTR	LTR	RNA	0
FBti0063914	297	297	LTR	LTR	RNA	0
FBti0064133	297	297	LTR	LTR	RNA	0
FBti0064227	297	297	LTR	LTR	RNA	0
DM23420	3S18	3S18	LTR	LTR	RNA	0
FBti0018869	3S18	3S18	LTR	LTR	RNA	0
FBti0019523	3S18	3S18	LTR	LTR	RNA	0
FBti0019554	3S18	3S18	LTR	LTR	RNA	0
FBti0019649	3S18	3S18	LTR	LTR	RNA	0
FBti0019655	3S18	3S18	LTR	LTR	RNA	0
FBti0020201	3S18	3S18	LTR	LTR	RNA	0
FBti0059931	3S18	3S18	LTR	LTR	RNA	0
FBti0060983	3S18	3S18	LTR	LTR	RNA	0
FBti0061050	3S18	3S18	LTR	LTR	RNA	0
FBti0062015	3S18	3S18	LTR	LTR	RNA	0
FBti0062016	3S18	3S18	LTR	LTR	RNA	0
FBti0062017	3S18	3S18	LTR	LTR	RNA	0
FBti0062368	3S18	3S18	LTR	LTR	RNA	0
FBti0062480	3S18	3S18	LTR	LTR	RNA	0
FBti0062881	3S18	3S18	LTR	LTR	RNA	0
FBti0063113	3S18	3S18	LTR	LTR	RNA	0
FBti0063624	3S18	3S18	LTR	LTR	RNA	0
412	412	412	LTR	LTR	RNA	0
FBti0018871	412	412	LTR	LTR	RNA	0
FBti0018872	412	412	LTR	LTR	RNA	0
FBti0018873	412	412	LTR	LTR	RNA	0
FBti0018874	412	412	LTR	LTR	RNA	0
FBti0019086	412	412	LTR	LTR	RNA	0
FBti0019380	412	412	LTR	LTR	RNA	0
FBti0019383	412	412	LTR	LTR	RNA	0
FBti0019390	412	412	LTR	LTR	RNA	0
FBti0019440	412	412	LTR	LTR	RNA	0
FBti0019462	412	412	LTR	LTR	RNA	0
FBti0019521	412	412	LTR	LTR	RNA	0
FBti0019524	412	412	LTR	LTR	RNA	0
FBti0019531	412	412	LTR	LTR	RNA	0
FBti0019566	412	412	LTR	LTR	RNA	0
FBti0019582	412	412	LTR	LTR	RNA	0
FBti0019614	412	412	LTR	LTR	RNA	0
FBti0019704	412	412	LTR	LTR	RNA	0
FBti0020013	412	412	LTR	LTR	RNA	0
FBti0020015	412	412	LTR	LTR	RNA	0
FBti0020033	412	412	LTR	LTR	RNA	0
FBti0020072	412	412	LTR	LTR	RNA	0
FBti0020073	412	412	LTR	LTR	RNA	0
FBti0020082	412	412	LTR	LTR	RNA	0
FBti0020094	412	412	LTR	LTR	RNA	0
FBti0020132	412	412	LTR	LTR	RNA	0
FBti0020165	412	412	LTR	LTR	RNA	0
FBti0020179	412	412	LTR	LTR	RNA	0
FBti0020186	412	412	LTR	LTR	RNA	0
FBti0059637	412	412	LTR	LTR	RNA	0
FBti0059922	412	412	LTR	LTR	RNA	0
FBti0059923	412	412	LTR	LTR	RNA	0
FBti0061034	412	412	LTR	LTR	RNA	0
FBti0061035	412	412	LTR	LTR	RNA	0
FBti0061038	412	412	LTR	LTR	RNA	0
FBti0061139	412	412	LTR	LTR	RNA	0
FBti0061618	412	412	LTR	LTR	RNA	0
FBti0064192	412	412	LTR	LTR	RNA	0
BS	BS	BS	non-LTR	non-LTR	RNA	0
FBti0018875	BS	BS	non-LTR	non-LTR	RNA	0
FBti0018876	BS	BS	non-LTR	non-LTR	RNA	0
FBti0018877	BS	BS	non-LTR	non-LTR	RNA	0
FBti0018878	BS	BS	non-LTR	non-LTR	RNA	0
FBti0018879	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019079	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019133	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019158	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019165	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019223	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019312	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019315	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019332	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019358	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019378	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019388	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019410	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019426	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019604	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019784	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019834	BS	BS	non-LTR	non-LTR	RNA	0
FBti0019957	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020044	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020056	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020057	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020125	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020128	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020149	BS	BS	non-LTR	non-LTR	RNA	0
FBti0020157	BS	BS	non-LTR	non-LTR	RNA	0
FBti0061024	BS	BS	non-LTR	non-LTR	RNA	0
FBti0061417	BS	BS	non-LTR	non-LTR	RNA	0
FBti0061529	BS	BS	non-LTR	non-LTR	RNA	0
FBti0061699	BS	BS	non-LTR	non-LTR	RNA	0
FBti0061905	BS	BS	non-LTR	non-LTR	RNA	0
FBti0062043	BS	BS	non-LTR	non-LTR	RNA	0
FBti0062148	BS	BS	non-LTR	non-LTR	RNA	0
FBti0062242	BS	BS	non-LTR	non-LTR	RNA	0
FBti0062279	BS	BS	non-LTR	non-LTR	RNA	0
FBti0062578	BS	BS	non-LTR	non-LTR	RNA	0
